رقمالإستمارة,إسم المالك,التاريخ,الكمية المرحلة بالجرام,الولاية,الرمز
RN/279,شركة مراسي للأنشطة المتعددة,15/07/2024,73104.2,نهر النيل,25
RN/280,شركة المنجز للإستيراد والتصدير,15/07/2024,14912.9,نهر النيل,5
RN/281,شركة جرسكو للإستيراد والتصدير,15/07/2024,39347.8,نهر النيل,59
RN/282,أعمال شاركلز التجارية المحدودة,15/07/2024,5318.7,نهر النيل,11
RN/283,أعمال علي محمد إبراهيم,17/07/2024,30381.2,نهر النيل,8
RN/284,أعمال علي محمد إبراهيم,18/07/2024,19290.9,نهر النيل,8
RN/285,الشركة الفيصلية المحدودة,18/07/2024,2022.6,نهر النيل,6
RN/286,شركة أي كوم التجارية,21/07/2024,35207.9,نهر النيل,7
RN/287,شركة المنجز للإستيراد والتصدير,21/07/2024,12011.7,نهر النيل,5
RN/288,شركة المنجز للإستيراد والتصدير,21/07/2024,30897.6,نهر النيل,5
RN/289,شركة أي كوم التجارية,21/07/2024,26423.7,نهر النيل,7
RN/290,شركة أي كوم التجارية,23/07/2024,20171.2,نهر النيل,7
RN/291,شركة مراسي للأنشطة المتعددة,23/07/2024,43809.9,نهر النيل,25
RN/292,شركة بانوراما للإستيراد والتصدير,23/07/2024,18892.8,نهر النيل,24
RN/293,شركة بانوراما للإستيراد والتصدير,24/07/2024,16295.7,نهر النيل,24
RN/294,شركة تالين قولد للإستيراد والتصدير,24/07/2024,14840.4,نهر النيل,26
RN/295,شركة كونتنتال للبترول,25/07/2024,13304.2,نهر النيل,52
RN/296,شركة كونتنتال للبترول,25/07/2024,2905.1,نهر النيل,52
RN/297,شركة أولاد محي الدين التجارية,27/07/2024,14763,نهر النيل,1
RN/298,أعمال علي محمد إبراهيم,27/07/2024,34064.5,نهر النيل,8
RN/299,شركة مراسي للأنشطة المتعددة,28/07/2024,53012.8,نهر النيل,25
RN/300,شركة المنجز للإستيراد والتصدير,29/07/2024,40975.8,نهر النيل,5
RN/301,شركة المنجز للإستيراد والتصدير,29/07/2024,13311.9,نهر النيل,5
RN/302,شركة أكون لايد المحدودة,29/07/2024,13993.1,نهر النيل,12
RN/303,أعمال علي محمد إبراهيم,30/07/2024,15560.9,نهر النيل,8
RN/304,شركة بانوراما للإستيراد والتصدير,31/07/2024,37256.8,نهر النيل,24
RN/305,شركة مراسي للأنشطة المتعددة,31/07/2024,50571.1,نهر النيل,25
RN/306,شركة أعمال التعدين المتقدمة,01/08/2024,5165.2,نهر النيل,15
RN/307,شركة إم بي إس التجارية,03/08/2024,21778.7,نهر النيل,47
RN/308,شركة وادي السابئك للأنشطة المتعددة,03/08/2024,31607.3,نهر النيل,35
RN/309,شركة وادي السابئك للأنشطة المتعددة,03/08/2024,37401.1,نهر النيل,35
RN/310,شركة أولاد محي الدين,03/08/2024,32440.2,نهر النيل,1
RN/311,شركة مراسي للأنشطة المتعددة,04/08/2024,33711.3,نهر النيل,25
RN/312,شركة مراسي للأنشطة المتعددة,04/08/2024,48962.2,نهر النيل,25
RN/313,شركة أي كوم التجارية المحدودة,05/08/2024,41558.8,نهر النيل,7
RN/314,شركة أي كوم التجارية المحدودة,05/08/2024,32954.6,نهر النيل,7
RN/315,شركة المنجز للإستيراد والتصدير,05/08/2024,87366.9,نهر النيل,5
RN/316,شركة بانوراما للإستيراد والتصدير,07/08/2024,42700,نهر النيل,24
RN/317,شركة مراسي للأنشطة المتعددة,10/08/2024,44813.9,نهر النيل,25
RN/318,الشركة الفيصلية المحدودة,10/08/2024,6666.8,نهر النيل,6
RN/319,شركة مأموركومرا للأنشطة المتعددة,10/08/2024,29995.9,نهر النيل,10
RN/320,شركة وادي السابئك للأنشطة المتعددة,10/08/2024,52663.5,نهر النيل,35
RN/321,شركة أي كوم للإستيراد والتصدير,11/08/2024,43237.8,نهر النيل,7
RN/322,شركة أي كوم للإستيراد والتصدير,11/08/2024,79358.1,نهر النيل,7
RN/323,شركة المنجز للإستيراد والتصدير,11/08/2024,40689.7,نهر النيل,5
