رقمالإستمارة,إسم المالك,التاريخ,الكمية المرحلة بالجرام,الولاية,الرمز
RS/224,أعمال تالين قولد للإستيراد والتصدير,08/09/2024,2847,البحر الأحمر,26
RS/225,شركة أعمال التعدين المتقدمة المحدودة,08/09/2024,26329,البحر الأحمر,15
RS/226,شركة تيتان العالمية المحدودة,08/09/2024,8657.5,البحر الأحمر,28
RS/227,شركة شاهقات العالمية للإستثمار المحدودة,09/09/2024,14831.3,البحر الأحمر,27
RS/228,أعمال بانوراما للإستيراد والتصدير,09/09/2024,1679.8,البحر الأحمر,24
RS/229,شركة أسفير للتعدين المحدودة,09/09/2024,1468,البحر الأحمر,44
RS/230,شركة مأموركومرا للأنشطة المتعددة,10/09/2024,26659.8,البحر الأحمر,10
RS/231,أعمال علي محمد إبراهيم التجارية,12/09/2024,1140,البحر الأحمر,8
RS/232,شركة قولد سويت للتجارة والإستثمار المحدودة,16/09/2024,4873.3,البحر الأحمر,60
RS/233,شركة إم بي إس للتجارة والإستثمار المحدودة,16/09/2024,21887.1,البحر الأحمر,47
RS/234,أعمال علي محمد إبراهيم المحدودة,16/09/2024,2093.8,البحر الأحمر,8
RS/235,شركة أولاد محي الدين المحدودة,17/09/2024,976.6,البحر الأحمر,1
RS/236,الشركة الفيصلية المحدودة,17/09/2024,928,البحر الأحمر,6
RS/237,أعمال تالين قولد للإستيراد والتصدير,17/09/2024,3337.9,البحر الأحمر,26
RS/238,أعمال أي كوم التجارية المحدودة,18/09/2024,7285.6,البحر الأحمر,7
RS/239,أعمال أي كوم التجارية المحدودة,19/09/2024,20472,البحر الأحمر,7
RS/240,شركة المنجز للإستيراد والتصدير,19/09/2024,2696.7,البحر الأحمر,5
RS/241,شركة إم بي إس للتجارة والإستثمار المحدودة,19/09/2024,10673.5,البحر الأحمر,47
RS/242,أعمال بانوراما للإستيراد والتصدير,19/09/2024,6559.3,البحر الأحمر,24
RS/243,أعمال بانوراما للإستيراد والتصدير,22/09/2024,11558.8,البحر الأحمر,24
RS/244,شركة أعمال التعدين المتقدمة المحدودة,22/09/2024,25656,البحر الأحمر,15
RS/245,شركة مصفاة السودان للذهب المحدودة,23/09/2024,43212.9,البحر الأحمر,29
RS/246,شركة وادي السبائك للأنشطة المتعددة,24/09/2024,6673.5,البحر الأحمر,35
RS/247,شركة ريناس للذهب والمجوهرات المحدودة,25/09/2024,21945,البحر الأحمر,45
RS/248,الشركة الفيصلية المحدودة,30/09/2024,9196.1,البحر الأحمر,6
RS/249,شركة نوتايم إنترناشيونال للإستيراد والتصدير,26/09/2024,21392.1,البحر الأحمر,49
RS/250,أعمال بانوراما للإستيراد والتصدير,29/09/2024,4876.4,البحر الأحمر,24
